StromnetzTyp,StationTyp,Anzahl,Datum
Allgemeinstrom,Transformatorenstation,131,2023-05-02
Allgemeinstrom,Uebergangsbauwerk,3,2023-05-02
Allgemeinstrom,Unterwerk,189,2023-05-02
