Werk,LaengeLeitung,AnzahlMasten,AnzahlStationen,Datum
axpo,2241944.8184760483,7010.0,37,2023-05-02
ibc,46456.97672846836,25.0,4,2023-05-02
iwb,1137060.9322728321,0.0,145,2023-05-02
lagoule,23349.00062412935,339.0,3,2023-05-02
swissgrid,10588009.129973637,11975.0,134,2023-05-02
