StromnetzTyp,MastTyp,Anzahl,Datum
Allgemeinstrom,Abspannmast,7519,2023-05-02
Allgemeinstrom,Endmast,442,2023-05-02
Allgemeinstrom,Tragmast,11388,2023-05-02
